Conference,"City, Country",Deadline,Date,Notification,Submission format and comments
DISC,"Madrid, Spain",7/14 May 2024,28 October - 1 November 2024,2 August 2024,"LIPIcs,double-blind, no page limit, but only first 15 pages read, 15 pages excluding references in proceedings",https://www.disc-conference.org/wp/disc2024/,Distributed Computing
TAP,"Milan, Italy",8/15 May 2024,9–10 September 2024,26 June 2024,"LNCS, 16 pages regular + tools + case studies, 6 pages short, all excluding references;
	      co-located withFM",https://tapconference.github.io/2024/,Tests and Proofs
FACS,"Milan, Italy",8/15 May 2024,9-10 September 2024,26 June 2024,"LNCS, 16 pages full, 6 pages short, 16 pages special tract, all excluding references;
	      co-located withFM",https://facs-conference.github.io/2024/,Formal Aspects of Component Software
PoS  ,"Pune, India",13/18 May 202427 May 20245 June 2024,20 August 2024,23 June 2023,"CEURART, 1 column,
	      15 pages long, 8 pages short, both excluding references,8 pages competition solver description;3rd deadline for SAT fast track, last deadline for competition solver descriptions;
	      satellite event ofSAT",http://www.pragmaticsofsat.org/2024/,Pragmatics of SAT
QUANTIFY,"Nancy, France",15 May 2024,1 July 2024,30 May 2024,"LNCS, 15 pages full and tutorial, 2 pages talk abstracts, all excluding references;
	      co-located withIJCAR",https://qbf24.pages.sai.jku.at/quantify/,Workshop on Quantification
WAIT,"Nancy, France",15 May 2024,2 July 2024,1 June 2024,"EasyChair, 2 pages;
	      co-located withIJCAR",https://wait2024.github.io/,Workshop on Automated (Co)Inductive Theorem Proving
LOPSTR,"Milan, Italy",15/19 May 2024,9-11 September 2024,26 June 2024,"LNCS, 15 pages regular, 8 pages short, both excluding references;
	      co-located withFMandPPDP",https://lopstr.github.io/2024/,Logic-Based Program Synthesis and Transformation
PPDP ,"Milan, Italy",15/22 May 2024,9-11 September 2024,3 July 2024,"ACM, 2 column,
	      12 pages excluding references regular, 10 pages system descriptions,5 pages including references experience reports;
	      co-located withFMandLOPSTR",https://ppdp2024.github.io/,Principles and Practice of Declarative Programming
WABI,"Egham, United Kingdom",19 May 2024,2-4 September 2024,23 June 2024,"LIPIcs,
	      15 pages excluding front matter and references;
	      part ofALGO",https://algo-conference.org/2024/wabi/,Workshop on Algorithms in Bioinformatics
SAS,"Pasadena, California, USA",19 May 2024,20-25 October 2024,16 July 2024,"double-blind, no page limit",https://2024.splashcon.org/home/sas-2024,Static Analysis Symposium
DSAA,"San Diego, California, USA",20 May 2024,6-10 October 2024,24 July 2024,"IEEE,
	      2 columns, 10 pages",https://dsaa2024.dsaa.co/,Data Science and Advanced Analytics
SAGT,"Amsterdam, The Netherlands",21 May 2024,3-6 September 2024,5 July 2024,"LNCS, 18 pages excluding references",https://www.cwi.nl/en/groups/networks-and-optimization/events/sagt-2024/,Symposium on Algorithmic Game Theory
LOD,"Castiglione della Pescaia, Italy",23 May 2024,22-25 September 2024,23 June 2024,"LNCS, 15 pages long, 11 pages short",https://lod2024.icas.events/,"Machine Learning, Optimization, Data Science"
APLAS,"Kyoto, Japan",24 May 2024,22-25 October 2024,2 August 2024,"LNCS, 17 pages excluding references",https://conf.researchr.org/home/aplas-2024,Asian Symposium on Programming Languages and Systems
ADT,"Piscataway, New Jersey, USA",24/31 May 2024,14-16 October 2024,19 July 2024,"LNCS, 15 pages",https://preflib.github.io/adt2024/,Algorithmic Decision Theory
RP,"Vienna, Austria",27/30 May 2024,25-27 September 2024,11 July 2024,"LNCS, 12 pages",https://easychair.org/smart-program/RP24/,Reachability Problems
GD ,"Vienna, Austria",31 May / 7 June 2024,18-20 September 2024,20 July 2024,"LIPIcswithown LaTeX class,double-blind,
	      500 lines regular, 225 lines short,both excluding front matter and references",https://graphdrawing.github.io/gd2024//,Graph Drawing
LSFA,"Goiânia, Brazil",31 May / 7 June 2024,18-20 September 2024,,"EPTCS, 16 pages full, 6 pages short",https://sites.google.com/ufg.br/lsfa2024,Logical and Semantic Frameworks with Applications
IOTSMS,"Malmö, Sweden",1 June 2024,2-5 September 2024,15 July 2024,"IEEE, 2 column,
	      8 pages full regular, 6 pages short, 3 pages posters and demos",https://emergingtechnet.org/IOTSMS2024/,"Internet of Things: Systems, Management and Security"
AAIM,"Dallas, Texas. USA",1 June 2024,21-23 September 2024,1 July 2024,"LNCS, 12 pages",https://theory.utdallas.edu/AAIM2024/,Algorithmic Aspects in Information and Management
RuleML+RR,"Bucharest, Romania",1/7 June 2024,16-18 September 2024,19 July 2024,"LNCS, 15 pages long, 8 pages short",https://2024.declarativeai.net/events/ruleml-rr,International Joint Conference on Rules and Reasoning
JAF,"Passau, Germany",2 June 2024,9-11 September 2024,2 July 2024,3 pages,https://www.uni-passau.de/en/jaf,Journées sur les Arithmétiques Faibles
iFM,"Manchester, UK",3/10 June 2024,13-15 November 2024,5 August 2024,"LNCS, 16 pages regular, 6 pages short",https://ifm2024.cs.manchester.ac.uk/,Integrated Formal Methods
ALGOWIN,"Egham, United Kingdom",7 June 2024,5-6 September 2024,1 August 2024,"LNCS,12 pages excluding referenes;
	      part ofALGO",https://algo-conference.org/2024/algowin/,Algorithmic of Wireless Networks
SEFM,"Aveiro, Portugal",7/14 June 2024,4-8 November 2024,15 August 2024,"LNCS, 16 pages excludinge references regular, 8 pages tool",https://sefm-conference.github.io/2024/,Software Engineering and Formal Methods
ICTCS,"Torino, Italy",9 June 2024,11-13 September 2024,14 July 2024,"LNCS, 12 pages regular, 5 pages communications, both excluding references",https://ictcs2024.di.unito.it/,Italian Conference on Theoretical Computer Science
ICTAC,"Bangkok, Thailand",14/21 June 2024,25-29 November 2024,1 September 2024,"LNCS, 16 pages excluding references full, 8 pages short and tool",https://ictac2024.cs.ait.ac.th/,International Colloquium on Theoretical Aspects of Computing
MLCS,"Vilnius, Lithuania",15 June 2024,9-13 September 2024,15 July 2024,"LNCS, 16 pages regular, 6 pages short",https://mlcs.lasige.di.fc.ul.pt/,Machine Learning for Cybersecurity
