Conference,"City, Country",Date,Notification,Final version,Early registration,Remarks and other indications
ISCO,"Tenerife, Canary Islands, Spain",22-24 May 2024,15 March 2024,15 April 2024,31 March 2024,school 20-21 May 2024,https://eventos.ull.es/isco-2024,International Symposium on Combinatorial Optimization
EUROCRYPT ,"Zurich, Switzerland",26-30 May 2024,8 December 202331 January 2024,,26 April 2024,,https://eurocrypt.iacr.org/2024/,Theory and Applications of Cryptographic Techniques
LPAR,Mauritius,26-31 May 2024,1 April 2024,5 April 2024,16 May 2024,,https://easychair.org/smart-program/LPAR2024/,"Logic for Programming, Artificial Intelligence and Reasoning"
SIROCCO,"Vietri sul Mare, Salerno, Italy",27-29 May 2024,28 January 2024,,31 March 2024,,http://sirocco2024.di.unisa.it/,Structural Information and Communication Complexity
CPAIOR,"Uppsala, Sweden",28-31 May 2024,1 February 2024,,15 April 2024,,https://sites.google.com/view/cpaior2024,"Integration of Constraint Programming, Artificial Intelligence, and Operations Research"
ICAPS,"Banf, Alberta, Canada",1-5 June 2024,12 February 2024,,31 March 2024,,https://icaps24.icaps-conference.org/,International Conference on Automated Planning and Scheduling
HALG,"Warsaw, Poland",3-5 June 2024,,25 May 2024,1 May 2024,,https://halg2024.ideas-ncbr.pl/,Highlights of Algorithms
NFM,"Moffett Field, California, USA",4-6 June 2024,16 February 2024,15 March 2024,,,https://conf.researchr.org/home/nfm-2024,NASA Formal Methods
FUN,"La Maddalena Island, Sardinia, Italy",4-8 June 2024,2 April 2024,15 April 2024,3 May 2024,,https://sites.google.com/unipi.it/fun2024/,Fun With Algorithms
SAND,"Patras, Greece",5-7 June 2024,20 March 2024,2 April 2024,3 May 2024,,https://www.ceid.upatras.gr/webpages/sand2024/,Algorithmic Foundations of Dynamic Networks
SoCS,"Kananaskis, Alberta, Canada",6-8 June 2024,26 March 2024,10 April 2024,5 April 2024,,https://socs24.search-conference.org/,Symposium on Combinatorial Search
PODS,"Santiago, Chile",9-15 June 2024,4 March 2024,,30 April 2024,co-located withSIGMOD,https://2024.sigmod.org/,Principles of Database Systems
SIGMOD,"Santiago, Chile",9-15 June 2024,23 February 2024,,30 April 2024,co-located withPODS,https://2024.sigmod.org/,International Conference on Management of Data
SCAI,"Jönköping, Sweden",10-11 June 2024,28 April 2024,12 May 2024,,,https://ju.se/samarbeta/event-och-konferenser/konferens/scai-symposium-2024/,Scandinavian Conference on AI
WoLLIC,"Bern, Switzerland",10-13 June 2024,15 April 2024,29 April 2024,10 May 2024,,https://wollic2024.inf.unibe.ch/,"Workshop on Logic, Language, Information and Computation"
SoCG,"Athens, Greece",11-14 June 2024,5 February 2024,20 March 2024,8 May 2024,,http://socg24.athenarc.gr/,Symposium on Computational Geometry
SWAT,"Helsinki, Finland",12-14 June 2024,2 April 2024,,18 May 2024,,https://swat2024.github.io/website/,Scandinavian Symposium and Workshops on Algorithm Theory
SLSS,"Reykjavík, Iceland",14-16 June 2024,30 April 2024,,,,https://scool24.github.io/SLSS/,Scandinavian Logic Symposium
SPAA,"Nantes, France",17-21 June 2024,7 April 2024,28 April 2024,,,https://spaa.acm.org/,Symposium on Parallelism in Algorithms and Architectures
PODC,"Nantes, France",17-21 June 2024,22 April 2024,,26 May 2024,,https://www.podc.org,Principles of Distributed Computing
DisCoTec,"Groningen, The Netherlands",17-21 June 2024,5 April 2024,24 April 2024,22 May 2024,"federated conference includingCOORDINATION,DAIS,
	      andFORTE",https://www.discotec.org/2024/,Distributed Computing Techniques
COORDINATION,"Groningen, The Netherlands",17-21 June 2024,5 April 2024,24 April 2024,22 May 2024,part ofDisCoTec,https://www.discotec.org/2024/coordination,Coordination Models and Languages
DAIS,"Groningen, The Netherlands",17-21 June 2024,5 April 2024,24 April 2024,22 May 2024,part ofDisCoTec,https://www.discotec.org/2024/dais,Distributed Applications and Interoperable Systems
