AAAI,Artificial Intelligence,Website,Description
AAIM,Algorithmic Aspects in Information and Management,Website,Description
AAMAS,Autonomous Agents and Multiagent Systems,Website,Description
ACDA,Applied and Computational Discrete Algorithms,Website,Description
ADEMAL,Automated Deduction for Machine Learning,Website,Description
ADG,Automated Deduction in Geometry,Website,Description
ADT,Algorithmic Decision Theory,Website,Description
AISC,Australasian Information Security Conference,Website,Description
AIxIA,Italian Association for Artificial Intelligence,Website,Description
ALENEX,Algorithm Engineering and Experiments,Website,Description
ALGO,Federated Conference on Algorithms,Website,Description
ALGOCLOUD,Algorithms for Cloud-Based Systems,Website,Description
ALGOWIN,Algorithmic of Wireless Networks,Website,Description
ALT,Algorithmic Learning Theory,Website,Description
ANALCO,Analytic Algorithmics and Combinatorics,Website,Description
ANTS,Algorithmic Number Theory Symposium,Website,Description
APLAS,Asian Symposium on Programming Languages and Systems,Website,Description
APOCS,Algorithmic Principles of Computer Systems,Website,Description
APPROX,Approximation Algorithms for Combinatorial Optimization Problems,Website,Description
ARQNL,Automated Reasoning in Quantified Non-Classical Logics,Website,Description
ASE,Automated Software Engineering,Website,Description
ASPOCP,Answer Set Programming and Other Computing Paradigms,Website,Description
ATMOS,"Algorithmic Approaches for Transportation Modelling, Optimization, and Systems",Website,Description
ATVA,Automated Technology for Verification and Analysis,Website,Description
AUTOMATA,Cellular Automata and Discrete Complex Systems,Website,Description
AiML,Advances in Modal Logic,Website,Description
AlCoB,Algorithms for Computational Biology,Website,Description
AofA,"Probabilistic, Combinatorial, and Asymptotic Methods in theAnalysisofAlgorithms",Website,Description
BICOB,Bioinformatics and Computational Biology,Website,Description
BLAST,"Boolean Algebras;Lattices, Algebraic Logic and Quantum Logic; UniversalAlgebra;Set Theory;  Set-theoretic and Point-freeTopology",Website,Description
CADE,Conference on Automated Deduction,Website,Description
CALCO,Conference on Algebra and Coalgebra in Computer Science,Website,Description
CALDAM,Conference on Algorithms and Discrete Applied Mathematics,Website,Description
CAV,Computer-Aided Verification,Website,Description
CAiSE,Advanced Information Systems Engineering,Website,Description
CCA,Computability & Complexity in Analysis,Website,Description
CCC,Computational Complexity Conference,Website,Description
