Conference,"City, Country",Date,Notification,Final version,Early registration,Remarks and other indications
FLOPSFunctional and Logic Programming,"Kumamoto, Japan",15-17 May 2024,26 January 2024,21 February 2024,30 April 2024,,https://conf.researchr.org/home/flops-2024
ISCOInternational Symposium on Combinatorial Optimization,"Tenerife, Canary Islands, Spain",22-24 May 2024,15 March 2024,15 April 2024,31 March 2024,school 20-21 May 2024,https://eventos.ull.es/isco-2024
EUROCRYPTTheory and Applications of Cryptographic Techniques,"Zurich, Switzerland",26-30 May 2024,8 December 202331 January 2024,,26 April 2024,,https://eurocrypt.iacr.org/2024/
"LPARLogic for Programming, Artificial Intelligence and Reasoning",Mauritius,26-31 May 2024,1 April 2024,5 April 2024,16 May 2024,,https://easychair.org/smart-program/LPAR2024/
SIROCCOStructural Information and Communication Complexity,"Vietri sul Mare, Salerno, Italy",27-29 May 2024,28 January 2024,,31 March 2024,,http://sirocco2024.di.unisa.it/
"CPAIORIntegration of Constraint Programming, Artificial Intelligence, and Operations Research","Uppsala, Sweden",28-31 May 2024,1 February 2024,,15 April 2024,,https://sites.google.com/view/cpaior2024
ICAPSInternational Conference on Automated Planning and Scheduling,"Banf, Alberta, Canada",1-5 June 2024,12 February 2024,,31 March 2024,,https://icaps24.icaps-conference.org/
HALGHighlights of Algorithms,"Warsaw, Poland",3-5 June 2024,,25 May 2024,1 May 2024,,https://halg2024.ideas-ncbr.pl/
NFMNASA Formal Methods,"Moffett Field, California, USA",4-6 June 2024,16 February 2024,15 March 2024,,,https://conf.researchr.org/home/nfm-2024
FUNFun With Algorithms,"La Maddalena Island, Sardinia, Italy",4-8 June 2024,2 April 2024,15 April 2024,3 May 2024,,https://sites.google.com/unipi.it/fun2024/
SANDAlgorithmic Foundations of Dynamic Networks,"Patras, Greece",5-7 June 2024,20 March 2024,2 April 2024,3 May 2024,,https://www.ceid.upatras.gr/webpages/sand2024/
SoCSSymposium on Combinatorial Search,"Kananaskis, Alberta, Canada",6-8 June 2024,26 March 2024,10 April 2024,5 April 2024,,https://socs24.search-conference.org/
PODSPrinciples of Database Systems,"Santiago, Chile",9-15 June 2024,4 March 2024,,30 April 2024,co-located withSIGMOD,https://2024.sigmod.org/
SIGMODInternational Conference on Management of Data,"Santiago, Chile",9-15 June 2024,23 February 2024,,30 April 2024,co-located withPODS,https://2024.sigmod.org/
SCAIScandinavian Conference on AI,"Jönköping, Sweden",10-11 June 2024,28 April 2024,12 May 2024,,,https://ju.se/samarbeta/event-och-konferenser/konferens/scai-symposium-2024/
"WoLLICWorkshop on Logic, Language, Information and Computation","Bern, Switzerland",10-13 June 2024,15 April 2024,29 April 2024,10 May 2024,,https://wollic2024.inf.unibe.ch/
SoCGSymposium on Computational Geometry,"Athens, Greece",11-14 June 2024,5 February 2024,20 March 2024,8 May 2024,,http://socg24.athenarc.gr/
SWATScandinavian Symposium and Workshops on Algorithm Theory,"Helsinki, Finland",12-14 June 2024,2 April 2024,,18 May 2024,,https://swat2024.github.io/website/
SLSSScandinavian Logic Symposium,"Reykjavík, Iceland",14-16 June 2024,30 April 2024,,,,https://scool24.github.io/SLSS/
SPAASymposium on Parallelism in Algorithms and Architectures,"Nantes, France",17-21 June 2024,7 April 2024,28 April 2024,,,https://spaa.acm.org/
PODCPrinciples of Distributed Computing,"Nantes, France",17-21 June 2024,22 April 2024,,26 May 2024,,https://www.podc.org
DisCoTecDistributed Computing Techniques,"Groningen, The Netherlands",17-21 June 2024,5 April 2024,24 April 2024,22 May 2024,"federated conference includingCOORDINATION,DAIS,
	      andFORTE",https://www.discotec.org/2024/
COORDINATIONCoordination Models and Languages,"Groningen, The Netherlands",17-21 June 2024,5 April 2024,24 April 2024,22 May 2024,part ofDisCoTec,https://www.discotec.org/2024/coordination
DAISDistributed Applications and Interoperable Systems,"Groningen, The Netherlands",17-21 June 2024,5 April 2024,24 April 2024,22 May 2024,part ofDisCoTec,https://www.discotec.org/2024/dais
"FORTEFormal Techniques for Distributed Objects, Components, and Systems","Groningen, The Netherlands",17-21 June 2024,5 April 2024,24 April 2024,22 May 2024,part ofDisCoTec,https://www.discotec.org/2024/forte
"AofAProbabilistic, Combinatorial, and Asymptotic Methods in theAnalysisofAlgorithms","Bath, United Kingdom",17-21 June 2024,28 April 2024,19 May 2024,3 May 2024,,https://www.math.aau.at/AofA2024/
DLDescription Logics,"Bergen, Norway",18-21 June 2024,8 May 2024,3 June 2024,21 May 2024,,https://dl2024.w.uib.no/
"GandALFGames, Automata, Logics, and Formal Verification","Reykjavik, Iceland",10-21 June 2024,,,,,https://scool24.github.io/GandALF/
WGGraph-Theoretic Concepts in Computer Science,"Gozd Martuljek, Slovenia",19-21 June 2024,19 April 2024,12 July 2024,30 April 2024,,https://conferences.famnit.upr.si/event/31/
STOCSymposium on Theory of Computing,"Vancouver, Canada",24-28 June 2024,11 February 2024,31 March 2024,6 May 2024,,http://acm-stoc.org/stoc2024/
CPMCombinatorial Pattern Matching,"Fukuoka, Japan",25-27 June 2024,10 April 2024,,20 May 2024,,https://cpm2024.github.io/
DEBSDistributed and Event-Based Systems,"Lyon, France",25-28 June 2024,12 April 202413 May 2024,24 May 2024,13 June 2024,,https://2024.debs.org/
LOFTLogic and the Foundations of Game and Decision Theory,"Bayreuth, Germany",26-28 June 2024,beginning April,,,,https://loftconference15.wordpress.com/
CILCItalian Conference on Computational Logic,"Rome, Italy",26-28 June 2024,22 May 2024,15 June 2024,,,https://cilc2024.github.io/
COLTConference on Learning Theory,"Edmonton, Canada",30 June – 3 July 2024,10 May 2024,,,,https://learningtheory.org/colt2024/
IWOCAInternational Workshop on Combinatorial Algorithms,"Ischia, Italy",1-4 July 2024,15 April 2024,26 April 2024,3 May 2024,,http://iwoca2024.di.unisa.it/
"TACLTopology, Algebra, and Categories in Logic","Barcelona, Spain",1-5 July 2024,20 April 2024,,8 June 2024,preceding summer school 25-28 June 2024,https://iiia.csic.es/tacl2024/
IJCARInternational Joint Conference on Automated Reasoning,"Nancy, France",1-6 July 2024,28 March 2024,28 April 2024,4 June 2024,,https://ijcar2024.loria.fr/
